	base__hugo	base__num_variants	base__so	base__all_so	base__note
297	PRELID3B	19	INT	INT(6),UT3(2),2KU(2),2KD(9)	
298	PREX1	268	FSI	FSI(1),FSD(1),STG(1),MIS(2),INT(261),UT3(1),2KD(1)	
299	PRND	8	UT3	UT3(6),2KD(2)	
300	PRNP	10	INT	INT(5),2KU(2),2KD(3)	
301	PRNT	38	INT	INT(25),UT3(2),2KU(11)	
302	PROCR	1	INT	INT(1)	
303	PROKR2	51	FSD	FSD(2),MIS(6),SYN(4),INT(15),2KU(8),2KD(16)	
304	PSMA7	7	SYN	SYN(1),INT(5),2KD(1)	
305	PSMF1	37	MIS	MIS(1),INT(33),2KU(2),2KD(1)	
306	PTGIS	15	INT	INT(13),UT3(1),2KD(1)	
307	PTPN1	119	SYN	SYN(2),INT(104),UT5(1),UT3(2),2KU(5),2KD(5)	
308	PTPRA	208	MIS	MIS(1),SYN(2),INT(185),UT3(9),2KU(4),2KD(7)	
309	PTPRT	1290	MIS	MIS(3),SYN(2),INT(1262),UT3(16),2KU(1),2KD(6)	
310	PXMP4	45	INT	INT(30),UT3(10),2KU(1),2KD(4)	
311	PYGB	142	FSI	FSI(1),MIS(3),SYN(5),INT(117),UT3(4),2KU(6),2KD(6)	
312	R3HDML	43	FSD	FSD(1),MIS(1),INT(23),UT3(1),2KU(3),2KD(14)	
313	RAB22A	131	SYN	SYN(3),INT(97),UT3(24),2KU(4),2KD(3)	
314	RAD21L1	94	INT	INT(90),2KD(4)	
315	RAE1	73	MIS	MIS(2),SYN(2),INT(65),UT5(1),2KU(3)	
316	RALGAPA2	88	MIS	MIS(2),SYN(1),INT(83),UT3(1),2KD(1)	
317	RALGAPB	156	FSI	FSI(1),MIS(7),SYN(7),INT(132),UT5(1),UT3(5),2KU(1),2KD(2)	
318	RALY	49	INT	INT(46),2KU(3)	
319	RASSF2	140	MIS	MIS(1),SYN(2),INT(130),UT5(1),UT3(4),2KU(2)	
320	RBBP8NL	50	MIS	MIS(1),SYN(4),INT(22),UT3(8),2KU(1),2KD(14)	
321	RBBP9	25	FSD	FSD(1),INT(10),UT5(1),UT3(6),2KU(2),2KD(5)	
322	RBCK1	12	MIS	MIS(1),INT(10),2KU(1)	
323	RBL1	134	MIS	MIS(3),SYN(1),INT(120),UT3(7),2KU(1),2KD(2)	
324	RBM12	15	MIS	MIS(1),SYN(1),INT(6),UT5(1),UT3(3),2KU(1),2KD(2)	
325	RBM38	10	INT	INT(6),UT3(1),2KD(3)	
326	RBM39	35	SYN	SYN(1),INT(31),UT5(1),2KU(2)	
327	RBPJL	4	MIS	MIS(1),INT(2),2KU(1)	
328	REM1	46	MIS	MIS(2),SYN(1),INT(29),2KU(7),2KD(7)	
